COLUMN_NAME,NAME,DESCRIPTION,FORMAT
patient_id,Patient ID,Unique patient identifier.,string
index_date,Index date,Date on which the patient satisfied cohort criteria.,date
age_at_index,Age,Patient age in years at the index date.,number
gender,Gender,Patient gender.,string
race,Race,Patient race.,string
ethnicity,Ethnicity,Patient ethnicity.,string
any_gi_procedure_ever,Any qualifying GI or Crohn's procedure on or after index date,Indicates whether the patient had **any qualifying GI or Crohn's procedure** on or after their index date within the study period.,boolean
cdai_or_hbi_pre_fibrosis_procedure_30d,CDAI or Harvey-Bradshaw Index assessment in 30-day pre-procedure window,Indicates whether the patient had at least one **CDAI or Harvey-Bradshaw Index assessment** recorded in the 30 days before any gastrointestinal or Crohn's procedure.,boolean
cdai_or_hbi_pre_fibrosis_procedure_60d,CDAI or Harvey-Bradshaw Index assessment in 60-day pre-procedure window,Indicates whether the patient had at least one **CDAI or Harvey-Bradshaw Index assessment** recorded in the 60 days before any gastrointestinal or Crohn's procedure.,boolean
crp_or_calprotectin_pre_fibrosis_procedure_30d,CRP or fecal calprotectin measurement in 30-day pre-procedure window,Indicates whether the patient had at least one **CRP or fecal calprotectin measurement** recorded in the 30 days before any gastrointestinal or Crohn's procedure.,boolean
crp_or_calprotectin_pre_fibrosis_procedure_60d,CRP or fecal calprotectin measurement in 60-day pre-procedure window,Indicates whether the patient had at least one **CRP or fecal calprotectin measurement** recorded in the 60 days before any gastrointestinal or Crohn's procedure.,boolean
ed_uc_crohns_flare,Emergency Room or Urgent Care visit for Crohn's disease flare post-index,"Indicates whether the patient had an **Emergency Room or Urgent Care visit for Crohn's disease flare** (primary Crohn's diagnosis, excluding remission) with visit start on or after the index date and within the study period.",boolean
inpatient_hosp_crohns_flare,Inpatient hospitalization for Crohn's disease flare on or after index date,Indicates whether the patient had at least one **inpatient hospitalization for Crohn's disease flare** (active Crohn's disease or complication as primary diagnosis) on or after the index date.,boolean
symptom_abdominal_mass_pre_fibrosis_proc_30d,Abdominal mass condition in 30-day pre-procedure window,Indicates whether the patient had at least one **abdominal mass condition** recorded in the 30 days before any gastrointestinal or Crohn's procedure.,boolean
